common name,scientific name,extinct,forefront recs,background recs,africa,americas,asia,australasia,europe
Lesser Whistling Duck ,Dendrocygna javanica ,False,39,5,True,False,True,False,False
White-backed Duck ,Thalassornis leuconotus ,False,0,0,True,False,False,False,False
Cape Barren Goose ,Cereopsis novaehollandiae ,False,3,0,False,False,False,True,False
Brant Goose ,Branta bernicla ,False,126,23,True,True,True,False,True
Red-breasted Goose ,Branta ruficollis ,False,6,1,True,False,True,False,True
Nene ,Branta sandvicensis ,False,12,2,False,False,False,False,False
Canada Goose ,Branta canadensis ,False,363,964,False,True,True,True,True
Barnacle Goose ,Branta leucopsis ,False,234,114,True,True,True,False,True
Cackling Goose ,Branta hutchinsii ,False,46,17,False,True,True,False,True
Bar-headed Goose ,Anser indicus ,False,35,18,False,True,True,False,True
Emperor Goose ,Anser canagicus ,False,7,0,False,True,True,False,True
Ross's Goose ,Anser rossii ,False,33,2,False,True,True,False,True
Snow Goose ,Anser caerulescens ,False,110,43,True,True,True,False,True
Greylag Goose ,Anser anser ,False,475,1378,True,True,True,True,True
Swan Goose ,Anser cygnoides ,False,24,16,False,True,True,False,True
Taiga Bean Goose ,Anser fabalis ,False,87,21,True,True,True,False,True
Pink-footed Goose ,Anser brachyrhynchus ,False,227,67,False,True,True,False,True
Tundra Bean Goose ,Anser serrirostris ,False,56,26,False,True,True,False,True
Greater White-fronted Goose ,Anser albifrons ,False,257,116,True,True,True,False,True
Lesser White-fronted Goose ,Anser erythropus ,False,18,1,True,True,True,False,True
Coscoroba Swan ,Coscoroba coscoroba ,False,29,9,False,True,False,False,False
Black Swan ,Cygnus atratus ,False,22,6,False,True,True,True,True
Black-necked Swan ,Cygnus melancoryphus ,False,16,1,False,True,False,False,False
Mute Swan ,Cygnus olor ,False,272,112,True,True,True,True,True
Trumpeter Swan ,Cygnus buccinator ,False,58,11,False,True,True,False,False
Tundra Swan ,Cygnus columbianus ,False,113,40,True,True,True,False,True
Whooper Swan ,Cygnus cygnus ,False,327,208,True,True,True,False,True
Freckled Duck ,Stictonetta naevosa ,False,6,0,False,False,False,True,False
Blue Duck ,Hymenolaimus malacorhynchos ,False,0,0,False,False,False,True,False
Flying Steamer Duck ,Tachyeres patachonicus ,False,17,2,False,True,False,False,False
Fuegian Steamer Duck ,Tachyeres pteneres ,False,7,0,False,True,False,False,False
Falkland Steamer Duck ,Tachyeres brachypterus ,False,11,0,False,False,False,False,False
Chubut Steamer Duck ,Tachyeres leucocephalus ,False,3,0,False,False,False,False,False
Torrent Duck ,Merganetta armata ,False,6,0,False,True,False,False,False
Spur-winged Goose ,Plectropterus gambensis ,False,12,2,True,False,False,False,False
Comb Duck ,Sarkidiornis sylvicola ,False,3,0,False,True,False,False,False
Knob-billed Duck ,Sarkidiornis melanotos ,False,1,0,True,True,True,False,False
Blue-winged Goose ,Cyanochen cyanoptera ,False,8,0,True,False,False,False,False
Egyptian Goose ,Alopochen aegyptiaca ,False,160,129,True,True,True,False,True
