Common name 	Scientific name 	Status 	No. 	No. Back
Green-winged Teal 	Anas carolinensis 		51 	25
Yellow-billed Teal 	Anas flavirostris 		42 	2
Rosy-billed Pochard 	Netta peposaca 		12 	0
Southern Pochard 	Netta erythrophthalma 		6 	0
Canvasback 	Aythya valisineria 		10 	1
Redhead 	Aythya americana 		17 	2
Common Pochard 	Aythya ferina 		76 	10
Ring-necked Duck 	Aythya collaris 		34 	1
Tufted Duck 	Aythya fuligula 		122 	39
Greater Scaup 	Aythya marila 		22 	0
Lesser Scaup 	Aythya affinis 		8 	1
Steller's Eider 	Polysticta stelleri 		6 	0
Spectacled Eider 	Somateria fischeri 		7 	0
King Eider 	Somateria spectabilis 		16 	1
Common Eider 	Somateria mollissima 		102 	72
Harlequin Duck 	Histrionicus histrionicus 		32 	1
Surf Scoter 	Melanitta perspicillata 		20 	1
Velvet Scoter 	Melanitta fusca 		19 	4
White-winged Scoter 	Melanitta deglandi 		1 	0
Common Scoter 	Melanitta nigra 		167 	12
Black Scoter 	Melanitta americana 		26 	10
Long-tailed Duck 	Clangula hyemalis 		95 	34
Bufflehead 	Bucephala albeola 		17 	0
Common Goldeneye 	Bucephala clangula 		132 	43
Barrow's Goldeneye 	Bucephala islandica 		35 	1
Smew 	Mergellus albellus 		16 	1
Hooded Merganser 	Lophodytes cucullatus 		26 	6
Brazilian Merganser 	Mergus octosetaceus 		12 	0
Common Merganser 	Mergus merganser 		124 	15
Red-breasted Merganser 	Mergus serrator 		49 	14
Black-headed Duck 	Heteronetta atricapilla 		10 	0
Masked Duck 	Nomonyx dominicus 		14 	0
Ruddy Duck 	Oxyura jamaicensis 		30 	10
Lake Duck 	Oxyura vittata 		1 	0
Maccoa Duck 	Oxyura maccoa 		3 	0
Plain Chachalaca 	Ortalis vetula 		79 	53
Grey-headed Chachalaca 	Ortalis cinereiceps 		33 	6
Chestnut-winged Chachalaca 	Ortalis garrula 		42 	7
Rufous-vented Chachalaca 	Ortalis ruficauda 		46 	14
Rufous-headed Chachalaca 	Ortalis erythroptera 		35 	16
Rufous-bellied Chachalaca 	Ortalis wagleri 		52 	89
West Mexican Chachalaca 	Ortalis poliocephala 		27 	25
Chaco Chachalaca 	Ortalis canicollis 		86 	106
White-bellied Chachalaca 	Ortalis leucogastra 		19 	3
Speckled Chachalaca 	Ortalis guttata 		92 	116
Little Chachalaca 	Ortalis motmot 		39 	27
Buff-browed Chachalaca 	Ortalis superciliaris 		8 	1
Band-tailed Guan 	Penelope argyrotis 		47 	8
Bearded Guan 	Penelope barbata 		27 	11
Baudo Guan 	Penelope ortoni 		13 	1
Andean Guan 	Penelope montagnii 		123 	26
Marail Guan 	Penelope marail 		18 	2
Rusty-margined Guan 	Penelope superciliaris 		34 	3
Red-faced Guan 	Penelope dabbenei 		23 	0
Crested Guan 	Penelope purpurascens 		87 	33
Cauca Guan 	Penelope perspicax 		54 	10
White-winged Guan 	Penelope albipennis 		20 	9
Spix's Guan 	Penelope jacquacu 		55 	186
